Added,Title,Title Short,Series,Book Numbers,Blurb,Authors,Narrators,Tags,Categories,Parent Category,Child Category,Length,Progress,Release Date,Publishers,My Rating,Rating,Ratings,Favorite,Format,Language,Whispersync,From Plus Catalog,Unavailable,Archived,Downloaded,Store Page Changed,Store Page Missing,ASIN,ISBN10,ISBN13,Summary,People Also Bought,Store Page Url,Sample,Web Player,Cover,Search In Goodreads,Subtitle,Podcast Parent,Collection Ids
691,"Fool's Play: System Apocalypse: Kismet, Book 1",Fool's Play,System Apocalypse: Kismet (book 1),1,"Not everyone falls during an apocalypse. Some rise to the occasion. For Fool and Jackal, the System Apocalypse was a chance to start again. A chance to rise, and be who they were meant to be....","Tao Wong, David R. Packer",Michael Norman Johnson,"Humorous, Post-Apocalyptic",Science Fiction & Fantasy > Science Fiction,Science Fiction & Fantasy,Science Fiction,8h 34m,,2023-10-31,Starlit Publishing,,,,,Unabridged Audiobook,English,available,,,,,,,B0CM6TL7V6,,,"<p>Not everyone falls during an apocalypse. Some rise to the occasion.</p> <p>For Fool and Jackal, the System Apocalypse was a chance to start again. A chance to rise, and be who they were meant to be.</p> <p>Now, they're trying to offer others the same opportunities as part of a secret organization helping humanity survive the System.</p> <p>Today's mission? Nothing big, just your typical save-the-princess quest.</p> <p>But when you're the Acolyte of a Trickster god, typical is the last thing you should expect.</p> <p>Just ask Fool's cat.</p> <p><i>Fool's Play</i> is the first book in a new series in the System Apocalypse universe. Written by David R. Packer in Tao Wong's bestselling post-apocalyptic LitRPG universe, <i>System Apocalypse: Kismet</i> follows a different path through a post-apocalyptic world, one of hope, redemption, and second chances.</p>","The System Apocalypse: Australia Books 1-3, The System Apocalypse Short Story Anthology, Volume 1, PrimeVerse Omnibus, The System Apocalypse Books 1-3, Awakening Horde, A Harsh Welcome, Bunnygirls: A Bunnygirl Harem Adventure, Quantum Shift, Uncontrollable, In Another World, I Must Defeat the Demon King, Monster Trainer Academy, System Change: A LitRPG Adventure, Wagga, Master of None, We Hunt Monsters, The New World, The Legend of Randidly Ghosthound, Mimic & Me",https://audible.co.uk/pd/B0CM6TL7V6?ipRedirectOverride=true&overrideBaseCountry=true,https://samples.audible.co.uk/bk/acx0/373979/bk_acx0_373979_sample.mp3,https://www.audible.com/webplayer?asin=B0CM6TL7V6,https://m.media-amazon.com/images/I/51jOwua9PGL._SL500_.jpg,https://www.goodreads.com/search?q=Tao%20Wong%20-%20Fool's%20Play,"System Apocalypse: Kismet, Book 1",,
690,The Janus Stone,The Janus Stone,,,"Ruth Galloway’s expertise is called upon when builders, demolishing an old house in Norwich....",Elly Griffiths,Clare Corbett,"Literature & Fiction, Suspense","Mystery, Thriller & Suspense > Thriller & Suspense","Mystery, Thriller & Suspense",Thriller & Suspense,"5h 32m ",Finished,2011-07-30,Quercus Publishing,,4.3,4,,Abridged Audiobook,English,,,,,,,,B005F0I5MA,,,"<p><b>Shortlisted for the CWA Dagger in the Library</b></p> <p>Ruth Galloway’s expertise is called upon when builders, demolishing an old house in Norwich, uncover the bones of a child – minus the skull – beneath a doorway. Is it some ritual sacrifice or just plain straightforward murder? DCI Harry Nelson investigates. The house was once a children’s home. Nelson traces the Catholic priest who used to run the place. He tells him that two children did go missing forty years before – a boy and a girl. They were never found. When carbon dating proves that the child’s bones predate the home and relate to a time when the house was privately owned, Ruth is drawn ever more deeply into the case. But as spring turns into summer it becomes clear that someone is trying hard to put her off the scent by frightening her to death…</p>","The House at Sea's End, A Room Full of Bones, The Zig Zag Girl, Bleeding Heart Yard, The Murderer's Son, The Long Call, Blood Harvest, The Shell House, The Corfe Castle Murders, Detective Sebastian Clifford, Books 1-3, Detective Tom Janssen Hidden Norfolk, Books 1-3, The Distant Echo, A Long Time Dead, The Merchant's House, The Secret of Villa Alba, The Silence, The Infirmary: A DCI Ryan Mystery (Multicast Drama), Say It With Poison, Mitchell and Markby Village, Book 1",https://audible.co.uk/pd/B005F0I5MA?ipRedirectOverride=true&overrideBaseCountry=true,https://samples.audible.co.uk/bk/qpuk/000039/bk_qpuk_000039_sample.mp3,https://www.audible.com/webplayer?asin=B005F0I5MA,https://m.media-amazon.com/images/I/51FRzcM2UZL._SL500_.jpg,https://www.goodreads.com/search?q=Elly%20Griffiths%20-%20The%20Janus%20Stone,,,
689,The Crossing Places,The Crossing Places,,,Here is fresh and engaging crime fiction with an appealing heroine – the first in a series of mysteries featuring forensic archaeologist Dr Ruth Galloway....,Elly Griffiths,Julie Maisey,"Literary Fiction, Medical, Mystery, Thriller & Suspense, Suspense",Literature & Fiction > Genre Fiction,Literature & Fiction,Genre Fiction,"5h 53m ",Finished,2010-10-28,Quercus Publishing Ltd,,4.4,1,,Abridged Audiobook,English,,,,,,,,B004EXBVR0,,,"<p><b>Shortlisted for the CWA Dagger in the Library</b></p> <p>Here is fresh and engaging crime fiction with an appealing heroine – the first in a series of mysteries featuring forensic archaeologist Dr Ruth Galloway. </p> <p>When she’s not digging up bones or other ancient objects, Ruth Galloway lectures at the University of North Norfolk. She lives happily alone in a remote, wild place called Saltmarsh overlooking the North Sea under Norfolk’s vast skies. </p> <p>When a child’s bones are found in the marshes near an ancient site that Ruth worked on 10 years earlier, she is asked to date them. The bones turn out to be 2,000 years old, and DCI Harry Nelson, who called on Ruth for help, is disappointed. He’d hoped they would be the bones of a child called Lucy who’s been missing for 10 years. He’s been getting letters about her ever since – bizarre notes with references to ritual and sacrifice and quoting the Bible and Shakespeare. </p> <p>Then a second girl goes missing, and Nelson receives another letter similar to the ones about Lucy. Soon it becomes clear that Ruth is in grave danger from a killer who knows that her expert knowledge is being used to help the police with their enquiries.</p>","The House at Sea's End, Bleeding Heart Yard, A Room Full of Bones, The Distant Echo, The Zig Zag Girl, The Murderer's Son, The Long Call, The Corfe Castle Murders, The Bay, Detective Tom Janssen Hidden Norfolk, Books 1-3, Detective Sebastian Clifford, Books 1-3, The Next Girl: Detective Gina Harte, Book 1, The Silence, Coffin Road, Raven Black, The Lost Girls of Penzance, Aspire to Die, Hero: A Simon Serrailler Short Story",https://audible.co.uk/pd/B004EXBVR0?ipRedirectOverride=true&overrideBaseCountry=true,https://samples.audible.co.uk/bk/qpuk/000023/bk_qpuk_000023_sample.mp3,https://www.audible.com/webplayer?asin=B004EXBVR0,https://m.media-amazon.com/images/I/51vFRKfFG9L._SL500_.jpg,https://www.goodreads.com/search?q=Elly%20Griffiths%20-%20The%20Crossing%20Places,,,
688,How to Not Die Alone: The Surprising Science of Finding Love,How to Not Die Alone,,,"This data-driven, step-by-step guide to relationships, complete with hands-on exercises, is designed to transform your life. How to Not Die Alone will help you find, build and keep the relationship of your dreams.",Logan Ury,Logan Ury,"Human Sexuality, Love, Dating & Attraction, Marriage & Long-Term Partnerships",Health & Wellness > Psychology & Mental Health,Health & Wellness,Psychology & Mental Health,8h 1m,,2021-02-02,Hachette Audio UK,,4.5,3,,Unabridged Audiobook,English,available,,,,,,,1405549068,,,"<p><b>A funny and practical guide to help you find, build, and keep the relationship of your dreams.</b></p> <p>Have you ever looked around and wondered, 'Why has everyone found love except me?' You're not the only one. Great relationships don't just appear in our lives—they're the culmination of a series of decisions, including who to date, how to end it with the wrong person and when to commit to the right one. But our brains often get in the way. We make poor decisions, which thwart us on our quest to find lasting love.</p> <p>Drawing from years of research, behavioural scientist turned dating coach Logan Ury reveals the hidden forces that cause those mistakes. But awareness on its own doesn't lead to results. You have to actually change your behaviour. Ury shows you how.</p> <p>This book focuses on a different decision in each chapter, incorporating insights from behavioural science, original research, and real-life stories. You'll learn:</p> <ul> <li>What's holding you back in dating (and how to break the pattern)</li> <li>What really matters in a long-term partner (and what really doesn't)</li> <li>How to overcome the perils of online dating (and make the apps work for you)</li> <li>How to meet more people in real life (while doing activities you love)</li> <li>How to make dates fun again (so they stop feeling like job interviews)</li> <li>Why 'the spark' is a myth (but you'll find love anyway)</li> </ul> <p>This data-driven, step-by-step guide to relationships, complete with hands-on exercises, is designed to transform your life. <i>How to Not Die Alone </i>will help you find, build and keep the relationship of your dreams.</p> <p><b>PLEASE NOTE: When you purchase this title, the accompanying PDF will be available in your Audible Library along with the audio.</b></p>","Attached, Models, The Psychology of Money, Think Big, The Comfort Crisis, Notes on Heartbreak, The Source, Calling in ""The One"" (Revised and Expanded), Mating in Captivity, The Diary of a CEO, Done with Dating, How to Break Up with Your Friends, Same as Ever, 8 Rules of Love, Make Him Yours, He's Lying Sis, Don’t Text Your Ex Happy Birthday, Red Flags",https://audible.co.uk/pd/1405549068?ipRedirectOverride=true&overrideBaseCountry=true,https://samples.audible.co.uk/bk/twuk/002849/bk_twuk_002849_sample.mp3,https://www.audible.com/webplayer?asin=1405549068,https://m.media-amazon.com/images/I/516we2pVFnL._SL500_.jpg,https://www.goodreads.com/search?q=Logan%20Ury%20-%20How%20to%20Not%20Die%20Alone,The Surprising Science of Finding Love,,
687,Competing in the Age of AI: Strategy and Leadership When Algorithms and Networks Run the World,Competing in the Age of AI,,,"In industry after industry, data, analytics, and AI-driven processes are transforming the nature of work. While we often still treat AI as the domain of a specific skill, business function, or sector, we have entered a new era in which AI is challenging the very concept of the firm....","Marco Iansiti, Karim R. Lakhani",Steven Jay Cohen,"Forecasting & Strategic Planning, Leadership, Management, Data Science",Business & Careers > Management & Leadership,Business & Careers,Management & Leadership,"9h 38m ",5h 46m left,2020-01-07,Gildan Media,,4.1,3,,Unabridged Audiobook,English,,,,,,,,1469076276,,,"<p>In industry after industry, data, analytics, and AI-driven processes are transforming the nature of work. While we often still treat AI as the domain of a specific skill, business function, or sector, we have entered a new era in which AI is challenging the very concept of the firm. AI-centric organizations exhibit a new operating architecture, redefining how they create, capture, share, and deliver value.&nbsp;&nbsp;</p> <p>Marco Iansiti and Karim R. Lakhani show how reinventing the firm around data, analytics, and AI removes traditional constraints on scale, scope, and learning that have constrained business growth for hundreds of years. From Airbnb to Ant Financial, Microsoft to Amazon, research shows how AI-driven processes are vastly more scalable than traditional processes, drive massive scope increase, enabling companies to straddle industry boundaries, and enable powerful opportunities for learning - to drive ever more accurate, complex, and sophisticated predictions.&nbsp;&nbsp;</p> <p>When traditional operating constraints are removed, strategy becomes a whole new game, one whose rules and likely outcomes this book will make clear.</p> <p><b>PLEASE NOTE: When you purchase this title, the accompanying PDF will be available in your Audible Library along with the audio.</b></p>","Prediction Machines, AI 2041, HBR's 10 Must Reads on Managing Yourself, Vol. 2, The Coming Wave, Radically Human, Smart Business, Life 3.0, Digital Vortex: How Today's Market Leaders Can Beat Disruptive Competitors at Their Own Game, Power and Prediction, The Alignment Problem, Human + Machine, Digital Transformation, Deming's Journey to Profound Knowledge, Super Founders, Rebooting AI, How to Stay Smart in a Smart World, Human Compatible, Exponential Organizations",https://audible.co.uk/pd/1469076276?ipRedirectOverride=true&overrideBaseCountry=true,https://samples.audible.co.uk/bk/gdan/003501/bk_gdan_003501_sample.mp3,https://www.audible.com/webplayer?asin=1469076276,https://m.media-amazon.com/images/I/51fb1EC2wZL._SL500_.jpg,https://www.goodreads.com/search?q=Marco%20Iansiti%20-%20Competing%20in%20the%20Age%20of%20AI,Strategy and Leadership When Algorithms and Networks Run the World,,
686,Rewired: The McKinsey Guide to Outcompeting in the Age of Digital and AI,Rewired,,,"Many companies are stuck with digital transformations that are not moving the needle. There are no quick fixes but there is a playbook. The answer is in rewiring your business so hundreds, thousands, of teams can harness technology....","Eric Lamarre, Kate Smaje, Rodney Zemmel",George Newbern,"Forecasting & Strategic Planning, Leadership, Management",Business & Careers > Management & Leadership,Business & Careers,Management & Leadership,"7h 19m ",Finished,2023-09-05,Ascent Audio,,5,1,,Unabridged Audiobook,English,,,,,,,,B0CGMNJ6F6,,,"<p>Many companies are stuck with digital transformations that are not moving the needle. There are no quick fixes but there is a playbook. The answer is in rewiring your business so hundreds, thousands, of teams can harness technology to continuously create great customer experiences, lower unit costs, and generate value. It's the capabilities of the organization that win the race.</p> <p>McKinsey Digital's top leaders Eric Lamarre, Kate Smaje, and Rodney W. Zemmel provide proven how-to details on what it takes in six comprehensive sections—creating the transformation roadmap, building a talent bench, adopting a new operating model, producing a distributed technology environment so teams can innovate, embedding data everywhere, and unlocking user adoption and enterprise scaling.</p> <p>Tested, iterated, reworked, and tested again over the years, McKinsey's digital and AI transformation playbook is captured in Rewired. It contains diagnostic assessments, operating model designs, technology and data architecture diagrams, how-to checklists, best practices and detailed implementation methods, all exemplified with demonstrated case studies and illustrated with 100+ exhibits.</p> <p><b>PLEASE NOTE: When you purchase this title, the accompanying PDF will be available in your Audible Library along with the audio.</b></p>","The Coming Wave, Elon Musk, The Diary of a CEO, Scaling People, How Big Things Get Done, Hacking Digital, Revolutionizing Business Operations, The Live Enterprise, The McKinsey Way, Team of Teams, A Seat at the Table, AI 2041, The Alignment Problem, How to Be a Founder, The Habit of Excellence, Thinking in Systems, When McKinsey Comes to Town, Modern Software Engineering",https://audible.co.uk/pd/B0CGMNJ6F6?ipRedirectOverride=true&overrideBaseCountry=true,https://samples.audible.co.uk/bk/gdan/005361/bk_gdan_005361_sample.mp3,https://www.audible.com/webplayer?asin=B0CGMNJ6F6,https://m.media-amazon.com/images/I/51TiXvP+RCL._SL500_.jpg,https://www.goodreads.com/search?q=Eric%20Lamarre%20-%20Rewired,The McKinsey Guide to Outcompeting in the Age of Digital and AI,,
685,"But What Can I Do?: Why Politics Has Gone so Wrong, and How You Can Help Fix It",But What Can I Do?,,,Alastair Campbell is widely regarded as one of our leading political commentators - this book shows why....,Alastair Campbell,Alastair Campbell,"Leadership, Elections & Political Process, United States, Personal Success",Business & Careers > Management & Leadership,Business & Careers,Management & Leadership,9h 29m,,2023-05-11,Penguin Audio,,4.7,2,,Unabridged Audiobook,English,available,,,,,,,B0BT1WSDR2,,,"<p><b>Brought to you by Penguin.</b></p> <p><b>'Your country needs you. Your world needs you. Your time is now.'</b></p> <p>Our politics is a mess. We have leaders who can't or shouldn't be allowed to lead. We endure governments that lie, and seek to undermine our democratic values. And we are confronted with policies that serve the interests of the privileged few. It's no surprise that so many of us feel frustrated, let down and drawn to ask, '<i>But what can I do?</i>'</p> <p>That question is the inspiration behind this book. It's a question regularly posed to Alastair Campbell, not least in reaction to <i>The Rest is Politics</i>, the chart-topping podcast he presents with former Tory Cabinet minister Rory Stewart. His answer, typically, is forthright and impassioned. We cannot afford to stand on the sidelines. If we think things need to change, then <i>we</i> need to change them, and that means getting involved.</p> <p><i>But What Can I Do? </i>provides each of us with the motivation and the tools to make a difference. It explains how we can develop our skills of advocacy and persuasion. It draws on Alastair's long experience to offer practical tips on putting together and leading a campaign team. It provides priceless advice on developing confidence and coping with criticism and setbacks. And it sets out the practical steps by which we can become political players ourselves.</p> <p>Part call to arms, part practical handbook, <i>But What Can I Do? </i>will prove required listening for anyone who wants to make a difference.</p>","The Blair Years, How They Broke Britain, The Abuse of Power, How Westminster Works...and Why It Doesn't, Code of Conduct, The Revenge of Power, The Sovereign Individual, Unruly, Winners, The Marches, Johnson at 10, Fascism, A Journey, Why Is This Lying Bastard Lying to Me?, Doughnut Economics, There Is Nothing For You Here, The Coming Wave, Living Better",https://audible.co.uk/pd/B0BT1WSDR2?ipRedirectOverride=true&overrideBaseCountry=true,https://samples.audible.co.uk/bk/rhuk/006952/bk_rhuk_006952_sample.mp3,https://www.audible.com/webplayer?asin=B0BT1WSDR2,https://m.media-amazon.com/images/I/41GbGfLV70L._SL500_.jpg,https://www.goodreads.com/search?q=Alastair%20Campbell%20-%20But%20What%20Can%20I%20Do%3F,"Why Politics Has Gone so Wrong, and How You Can Help Fix It",,
684,Politics on the Edge: A Memoir from Within,Politics on the Edge,,,"Over the course of a decade from 2010, Rory Stewart went from being a political outsider to standing for prime minister - before being sacked from a Conservative Party that he had come to barely recognise....",Rory Stewart,Rory Stewart,"Biographies & Memoirs, Great Britain, Elections & Political Process, Politics & Government",History > Europe,History,Europe,"16h 20m ",Finished,2023-09-14,Penguin Audio,,4.9,8,,Unabridged Audiobook,English,available,,,,,,,B0C1KWPR8P,,,"<p><b>Brought to you by Penguin.</b></p> <p><b>From the former Conservative Cabinet minister and co-presenter of 2022's breakout hit podcast </b><b><i>The Rest is Politics</i></b><b>, a searing insider's account of ten extraordinary years in Parliament</b></p> <p>Over the course of a decade from 2010, Rory Stewart went from being a political outsider to standing for prime minister - before being sacked from a Conservative Party that he had come to barely recognise.</p> <p>Tackling ministerial briefs on flood response and prison violence, engaging with conflict and poverty abroad as a foreign minister, and Brexit as a Cabinet minister, Stewart learned first-hand how profoundly hollow and inadequate our democracy and government had become. Cronyism, ignorance and sheer incompetence ran rampant. Around him, individual politicians laid the foundations for the political and economic chaos of today.</p> <p>Stewart emerged battered but with a profound affection for his constituency of Penrith and the Border, and a deep direct insight into the era of populism and global conflict.</p> <p><i>Politics On the Edge</i> invites us into the mind of one of the most interesting actors on the British political stage. Uncompromising, candid and darkly humorous, this is his story of the challenges, absurdities and realities of political life; a new classic of political memoir and a remarkable portrait of our age.</p>","How They Broke Britain, The Abuse of Power, Unruly, Occupational Hazards, The Blair Years, The Coming Wave, Going Infinite, The Places in Between, The Marches, How Westminster Works...and Why It Doesn't, Code of Conduct, The Making of the Modern Middle East, Alan Partridge: Big Beacon, Johnson at 10, The Right to Rule, Why Is This Lying Bastard Lying to Me?, Turning Points, Be Useful",https://audible.co.uk/pd/B0C1KWPR8P?ipRedirectOverride=true&overrideBaseCountry=true,https://samples.audible.co.uk/bk/rhuk/007112/bk_rhuk_007112_sample.mp3,https://www.audible.com/webplayer?asin=B0C1KWPR8P,https://m.media-amazon.com/images/I/51btunBtJEL._SL500_.jpg,https://www.goodreads.com/search?q=Rory%20Stewart%20-%20Politics%20on%20the%20Edge,A Memoir from Within,,
683,"The Running Grave: Cormoran Strike, Book 7",The Running Grave,Cormoran Strike (book 7),7,"Private Detective Cormoran Strike is contacted by a worried father whose son, Will, has gone to join a religious cult in the depths of the Norfolk countryside....",Robert Galbraith,Robert Glenister,"Cosy, Modern Detectives, International Mystery & Crime, Private Investigators, Crime Thrillers","Mystery, Thriller & Suspense > Mystery","Mystery, Thriller & Suspense",Mystery,"34h 13m ",8h 58m left,2023-09-26,Hachette Audio UK,,4.9,2,,Unabridged Audiobook,English,available,,,,,,,B0C3M97JZW,,,"<p>Private Detective Cormoran Strike is contacted by a worried father whose son, Will, has gone to join a religious cult in the depths of the Norfolk countryside.</p> <p>The Universal Humanitarian Church is, on the surface, a peaceable organisation that campaigns for a better world. Yet Strike discovers that beneath the surface there are deeply sinister undertones, and unexplained deaths.</p> <p>In order to try to rescue Will, Strike's business partner Robin Ellacott decides to infiltrate the cult and she travels to Norfolk to live incognito amongst them. But in doing so, she is unprepared for the dangers that await her there or for the toll it will take on her...</p> <p><b>Unstoppable, </b><b><i>The Running Grave</i></b><b> moves Strike and Robin's story forward in the epic, unforgettable seventh instalment of the series.</b></p>","The Murderer's Son, Unruly, The Monogram Murders, None of This Is True, Dead Simple, The Long Call, Killing Floor, The Outsider, The Firm, The Distant Echo, Paradise, The Complete George Smiley Radio Dramas, The Infirmary: A DCI Ryan Mystery (Multicast Drama), The Evening and the Morning, The Zig Zag Girl, Broadland, First Blood, The Only Suspect",https://audible.co.uk/pd/B0C3M97JZW?ipRedirectOverride=true&overrideBaseCountry=true,https://samples.audible.co.uk/bk/twuk/003813/bk_twuk_003813_sample.mp3,https://www.audible.com/webplayer?asin=B0C3M97JZW,https://m.media-amazon.com/images/I/618QbvxBhxL._SL500_.jpg,https://www.goodreads.com/search?q=Robert%20Galbraith%20-%20The%20Running%20Grave,"Cormoran Strike, Book 7",,
682,The Entrepreneurial State,The Entrepreneurial State,,,"According to conventional wisdom, innovation is best left to the dynamic entrepreneurs of the private sector, and government should get out of the way. But what if all this was wrong? Find out....",Mariana Mazzucato,Amy Finegan,"Entrepreneurship, Macroeconomics, Politics & Government",Business & Careers > Business Development & Entrepreneurship,Business & Careers,Business Development & Entrepreneurship,"8h 41m ",7h 9m left,2018-11-01,Penguin Audio,,4.3,6,,Unabridged Audiobook,English,,,,,,,,B07FXM5WS1,,,"<p>Penguin presents the audiobook edition of <i>The Entrepreneurial State </i>by Mariana Mazzucato, read by Amy Finegan.&nbsp;</p> <p>According to conventional wisdom, innovation is best left to the dynamic entrepreneurs of the private sector, and government should get out of the way. But what if all this was wrong? What if, from Silicon Valley to medical breakthroughs, the public sector has been the boldest and most valuable risk taker of all?</p>","Mission Economy, The Big Con, The Value of Everything, Technofeudalism, The Innovation Illusion, The Quest for Prosperity, Doughnut Economics, The Deficit Myth, How They Broke Britain, Free and Equal, Code of Conduct, Too Late to Awaken, Economics: The User's Guide, globalization, Created in China, Power and Progress, Completing Capitalism, A New Era in Banking",https://audible.co.uk/pd/B07FXM5WS1?ipRedirectOverride=true&overrideBaseCountry=true,https://samples.audible.co.uk/bk/pauk/001778/bk_pauk_001778_sample.mp3,https://www.audible.com/webplayer?asin=B07FXM5WS1,https://m.media-amazon.com/images/I/51geKG8cbWL._SL500_.jpg,https://www.goodreads.com/search?q=Mariana%20Mazzucato%20-%20The%20Entrepreneurial%20State,,,
